ID,Species,Trend,TP,Occupancy,Record
1,Camponotus herculeanus,Increasing,1910-1919,0.04546618,First
1,Camponotus herculeanus,Increasing,2010-2019,0.241906,Last
2,Formica cinerea,Stable,1900-1909,0.1902868,First
2,Formica cinerea,Stable,2010-2019,0.1814404,Last
3,Formica cunicularia,Stable,1940-1949,0.05416808,First
3,Formica cunicularia,Stable,1990-1999,0.06261532,Last
4,Formica exsecta,Stable,1900-1909,0.3158587,First
4,Formica exsecta,Stable,2010-2019,0.36362,Last
5,Formica fusca,Stable,1900-1909,0.9207744,First
5,Formica fusca,Stable,2010-2019,0.916554,Last
6,Formica picea,Increasing,1930-1939,0.2858493,First
6,Formica picea,Increasing,2010-2019,0.407606,Last
7,Formica polyctena,Fluctuating,1910-1919,0.4573445,First
7,Formica polyctena,Fluctuating,2010-2019,0.5386876,Last
8,Formica pratensis,Stable,1900-1909,0.255692,First
8,Formica pratensis,Stable,2010-2019,0.2062349,Last
9,Formica pressilabris,Stable,1930-1939,0.2523331,First
9,Formica pressilabris,Stable,2010-2019,0.2861727,Last
10,Formica rufa,Increasing,1900-1909,0.6650115,First
10,Formica rufa,Increasing,2010-2019,0.7206333,Last
11,Formica rufibarbis,Fluctuating,1900-1909,0.474239,First
11,Formica rufibarbis,Fluctuating,2010-2019,0.5185836,Last
12,Formica sanguinea,Fluctuating,1930-1939,0.3636072,First
12,Formica sanguinea,Fluctuating,2010-2019,0.2240063,Last
13,Formica truncorum,Stable,1910-1919,0.1989502,First
13,Formica truncorum,Stable,2010-2019,0.1685877,Last
14,Formica uralensis,Increasing,1930-1939,0.04502265,First
14,Formica uralensis,Increasing,2010-2019,0.3491881,Last
15,Formicoxenus nitidulus,Stable,1910-1919,0.1970725,First
15,Formicoxenus nitidulus,Stable,2010-2019,0.1510208,Last
16,Lasius flavus,Stable,1900-1909,0.9335455,First
16,Lasius flavus,Stable,2010-2019,0.9411326,Last
17,Lasius fuliginosus,Declining,1900-1909,0.6813644,First
17,Lasius fuliginosus,Declining,2010-2019,0.446417,Last
18,Lasius meridionalis,Stable,1930-1939,0.2953321,First
18,Lasius meridionalis,Stable,2010-2019,0.3998332,Last
19,Lasius niger,Stable,1900-1909,0.8968169,First
19,Lasius niger,Stable,2010-2019,0.9421995,Last
20,Lasius umbratus,Fluctuating,1900-1909,0.4887283,First
20,Lasius umbratus,Fluctuating,2010-2019,0.4825085,Last
21,Leptothorax acervorum,Stable,1920-1929,0.5940614,First
21,Leptothorax acervorum,Stable,2010-2019,0.9711268,Last
22,Myrmica lobicornis,Stable,1930-1939,0.6274099,First
22,Myrmica lobicornis,Stable,2010-2019,0.4809002,Last
23,Myrmica rubra,Declining,1900-1909,0.86325,First
23,Myrmica rubra,Declining,2010-2019,0.7196805,Last
24,Myrmica ruginodis,Increasing,1900-1909,0.8360636,First
24,Myrmica ruginodis,Increasing,2010-2019,0.8781974,Last
25,Myrmica rugulosa,Fluctuating,1910-1919,0.4550412,First
25,Myrmica rugulosa,Fluctuating,2010-2019,0.444099,Last
26,Myrmica sabuleti,Declining,1910-1919,0.5107287,First
26,Myrmica sabuleti,Declining,2010-2019,0.0528662,Last
27,Myrmica scabrinodis,Stable,1900-1909,0.7463079,First
27,Myrmica scabrinodis,Stable,2010-2019,0.688668,Last
28,Myrmica schencki,Declining,1930-1939,0.33917,First
28,Myrmica schencki,Declining,2010-2019,0.2354639,Last
29,Tetramorium caespitum,Fluctuating,1900-1909,0.6157834,First
29,Tetramorium caespitum,Fluctuating,2010-2019,0.6617381,Last
